data_assinatura;inicio_vigencia;fim_vigencia;orgao_superior;orgao_entidade;unidade_gestora;forma_contratacao;grupo_objeto;numero_contrato;situacao;objeto;valor_contratado_rs
"28/06/2018";"04/07/2018";"31/12/2020";"Ministério da Defesa";"Comando do Exército";"BASE ADMINISTRATIVA DO QGEX";"Inexigibilidade de Licitação";"Outros";"00015/2018";"Não se aplica";"CONTRATACAO DE SERVICOS TECNICOS PROFISSIONAIS ESPECIALIZADOS EM TREINAMENTO E APERFEICOAMENTO DE PESSOA PARA ATENDER AO PLANO DE CAPACITACAO 2018";"30.608,10"
"27/06/2018";"28/06/2018";"28/06/2020";"Ministério da Defesa";"Comando do Exército";"DEPARTAMENTO-GERAL DO PESSOAL";"Inexigibilidade de Licitação";"Serviços";"9/2018";"Publicado";"Contratação de curso de Pós-Graduação MBA em Gestão Financeira: Controladoria e Auditoria para 01 (um) militar da DPPA/APPCO/DGP";"32.348,40"
"25/06/2018";"28/06/2018";"28/06/2020";"Ministério da Defesa";"Comando da Aeronáutica";"GABINETE DO COMANDANTE DA AERONAUTICA";"Inexigibilidade de Licitação";"Serviços";"1/2018";"Publicado";"Curso de MBA em Gestão Financeira: Controladoria e Auditoria, ministrado pela Fundação Getúlio Vargas.";"30.608,10"
"25/06/2018";"23/07/2018";"26/10/2018";"Ministério da Defesa";"Comando do Exército";"ESCOLA DE CMDO E ESTADO-MAIOR DO EXERCITO";"Inexigibilidade de Licitação";"Serviços";"2/2018";"Publicado";"Contratação de serviços profissionais da contratada, para realização do Curso de Pós-graduação, Lato Sensu, nível especialização, ""MBA Executivo em Administraçã";"250.000,00"
"15/06/2018";"15/06/2018";"11/09/2020";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DOS AFONSOS";"Dispensa de Licitação";"Serviços";"12/2018";"Publicado";"Contratação de 10 vagas no curso de pós-graduação lato sensu, nível especialização, dedenominado ""Pós-graduação em Administração Pública"", turma ""MRJ01832-CIPAD";"188.750,00"
"14/06/2018";"16/08/2018";"18/08/2019";"Ministério da Defesa";"Comando do Exército";"BASE ADMINISTRATIVA DO QGEX";"Inexigibilidade de Licitação";"Serviços";"18/2018";"Publicado";"Contratacao de servicos tecnicos profissionais especializados em treinamento e aperfeicoamento de pessoa para atender ao plano de ca pacitacao 2018";"18.966,79"
"08/06/2018";"28/06/2018";"30/05/2020";"Ministério da Defesa";"Fundo do Exército";"SECRETARIA DE ECONOMIA E FINANCAS";"Inexigibilidade de Licitação";"Serviços";"5/2018";"Publicado";"Curso de pós-gradução MBA Gestão Fin - Controladoria e Auditoria, com carga 432h para militar da SEF.";"26.003,00"
"25/05/2018";"04/06/2018";"26/06/2019";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"50488/2018";"Fechado";"Pós-Graduação LLM em Direito: Infraestrutura e Regulação";"27.900,00"
"03/05/2018";"03/05/2018";"03/05/2019";"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"IBAMA - SUPERINTENDENCIA DO CEARA/CE";"Inexigibilidade de Licitação";"Serviços";"6/2018";"Publicado";"Contratação de empresa para realização de 1 (uma) turma do curso de extensão denominado ""desenvolvimento de líderes"", com carga horária total de 248 (duzentas e";"409.200,00"
"03/05/2018";"04/05/2018";"04/06/2020";"Ministério da Defesa";"Comando do Exército";"DEPARTAMENTO-GERAL DO PESSOAL";"Inexigibilidade de Licitação";"Serviços";"7/2018";"Publicado";"Pós-graduação MBA em Administração na Gestão de Clínicas, Hospitais e Indústrias da Saúde";"31.750,00"
"02/05/2018";"02/05/2018";"01/11/2020";"Ministério da Defesa";"Comando do Exército";"BASE ADMINISTRATIVA DO QGEX";"Inexigibilidade de Licitação";"Outros";"00011/2018";"Não se aplica";"CONTRATACAO DE SERVICOS TECNICOS PROFISSIONAIS ESPECIALIZADOS EM TREINAMENTO E APERFEICOAMENTO DE PESSOA PARA ATENDER AO PLANO DE CAPACITACAO 2018";"25.300,00"
"30/04/2018";"02/05/2018";"01/03/2019";"PRESIDENCIA DA REPUBLICA - PRES";"MINISTERIO DAS COMUNICACOES - MINC";"TELECOMUNICAÇÕES BRASILEIRAS S.A.";"Sem Informação";"Outros";"15/2018";"Fechado";"Contratação de instituição especializada para auxiliar e apoiar a Telebras na implementação do Planejamento estratégico.";"1.920.000,00"
"25/04/2018";"11/05/2018";"11/05/2020";"Ministério da Defesa";"Comando do Exército";"DEPARTAMENTO-GERAL DO PESSOAL";"Inexigibilidade de Licitação";"Serviços";"4/2018";"Publicado";"Contratação de serviço técnico profissional especializado de Pós-Graduação MBA em Business Analytics e Big Data.";"29.780,46"
"12/04/2018";"12/04/2018";"12/01/2019";"Ministério de Minas e Energia";"Empresa de Pesquisa Energética";"EMPRESA DE PESQUISA ENERGETICA";"Sem Informação";"Outros";"9/2018";"Fechado";"Contratação de serviços técnicos especializados, visando a realização de pesquisa para alimentação do banco de dados do SISORH.";"355.600,00"
"09/03/2018";"09/03/2018";"14/03/2019";"Ministério de Minas e Energia";"Empresas de Energia";"ELETROSUL CENTRAIS ELETRICAS S.A.";"Sem Informação";"Outros";"25478/2018";"Fechado";"ServiÇo renovaÇÃo assinatura de indice ''fgvdados'' conforme especificaÇÃo tÉcnica";"7.359,51"
