Soja - Valor da produção (2024),,
localidade,valor,unidade
São José da Vitória - BA,...,Mil Reais
São José do Jacuípe - BA,-,Mil Reais
São Miguel das Matas - BA,-,Mil Reais
São Sebastião do Passé - BA,-,Mil Reais
Sapeaçu - BA,-,Mil Reais
Sátiro Dias - BA,-,Mil Reais
Saubara - BA,-,Mil Reais
Saúde - BA,-,Mil Reais
Seabra - BA,-,Mil Reais
Sebastião Laranjeiras - BA,-,Mil Reais
Senhor do Bonfim - BA,-,Mil Reais
Serra do Ramalho - BA,29.762,Mil Reais
Sento Sé - BA,-,Mil Reais
Serra Dourada - BA,-,Mil Reais
Serra Preta - BA,-,Mil Reais
Serrinha - BA,-,Mil Reais
Serrolândia - BA,-,Mil Reais
Simões Filho - BA,-,Mil Reais
Sítio do Mato - BA,1.570,Mil Reais
Sítio do Quinto - BA,-,Mil Reais
Sobradinho - BA,-,Mil Reais
Souto Soares - BA,-,Mil Reais
Tabocas do Brejo Velho - BA,7.025,Mil Reais
Tanhaçu - BA,-,Mil Reais
Tanque Novo - BA,-,Mil Reais
Tanquinho - BA,-,Mil Reais
Taperoá - BA,-,Mil Reais
Tapiramutá - BA,-,Mil Reais
Teixeira de Freitas - BA,-,Mil Reais
Teodoro Sampaio - BA,-,Mil Reais
Teofilândia - BA,-,Mil Reais
Teolândia - BA,-,Mil Reais
Terra Nova - BA,-,Mil Reais
Tremedal - BA,-,Mil Reais
Tucano - BA,-,Mil Reais
Uauá - BA,-,Mil Reais
Ubaíra - BA,-,Mil Reais
Ubaitaba - BA,-,Mil Reais
Ubatã - BA,-,Mil Reais
Uibaí - BA,-,Mil Reais
Umburanas - BA,-,Mil Reais
Una - BA,-,Mil Reais
Urandi - BA,-,Mil Reais
Uruçuca - BA,-,Mil Reais
Utinga - BA,-,Mil Reais
Valença - BA,-,Mil Reais
Valente - BA,-,Mil Reais
Várzea da Roça - BA,-,Mil Reais
Várzea do Poço - BA,-,Mil Reais
Várzea Nova - BA,-,Mil Reais
Varzedo - BA,-,Mil Reais
Vera Cruz - BA,-,Mil Reais
Vereda - BA,-,Mil Reais
Vitória da Conquista - BA,-,Mil Reais
Wagner - BA,-,Mil Reais
Wanderley - BA,-,Mil Reais
Wenceslau Guimarães - BA,-,Mil Reais
Xique-Xique - BA,-,Mil Reais
Fonte: PAM
,,
