OBJECTID_1;Nome da Base;Município;UF;Razão Social;Latitude;Longitude;Capaciade (m3);x;y
319;IPIRANGA PRODUTOS DE PETRÓLEO - BAURU/SP (EX-COMPANHIA BRASILEIRA DE PETRÓLEO IPIRANGA);BAURU;SP;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-22.31746127;-49.05133353;6065.22;-49.051333529999965;-22.317461269999967
320;VIBRA ENERGIA S.A.;BAURU;SP;VIBRA ENERGIA S.A.;-22.31374284;-49.04398387;22160;-49.04398386999998;-22.313742839999975
321;VIBRA ENERGIA S.A.;RIO DE JANEIRO;RJ;VIBRA ENERGIA S.A.;-22.80888167;-43.259495;32543;-43.25949499999996;-22.80888166999995
322;BASE DE VILHENA;VILHENA;RO;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-12.796195;-60.085622;915.44;-60.085621999999944;-12.796194999999955
323;DISTRIBUIDORA EQUATORIAL DE PRODUTOS DE PETRÓLEO LTDA;VILHENA;RO;DISTRIBUIDORA EQUADOR DE PRODUTOS DE PETRÓLEO LTDA.;-12.80228931;-60.08388253;480;-60.08388252999998;-12.802289309999935
324;IPIRANGA - BASE - BAGÉ/RS;BAGE;RS;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-31.34470217;-54.07706658;2977.5;-54.07706657999995;-31.344702169999948
325;WALENDOWSKI - BASE -  BRUSQUE/SC;BRUSQUE;SC;WALENDOWSKY DISTRIBUIDORA DE COMBUSTÍVEIS LTDA;-27.11080722;-48.84936201;2805.29;-48.849362009999936;-27.11080721999997
326;MAXSUL - BASE - CHAPECÓ/SC;CHAPECO;SC;MAXSUL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;-27.17271117;-52.63586424;16736.09;-52.63586423999993;-27.172711169999957
327;RAÍZEN - BASE DE ARAÇATUBA - SP;ARACATUBA;SP;RAIZEN COMBUSTÍVEIS S.A.;-21.2263788;-50.5188948;9125.05;-50.51889479999994;-21.226378799999964
328;FAN - BASE COMPARTILHADA - GUAMARÉ/RN;GUAMARE;RN;FAN - DISTRIBUIDORA DE PETRÓLEO LTDA.;-5.14210885;-36.39146035;7890;-36.39146034999993;-5.142108849999943
329;ALESAT - BASE COMPARTILHADA - GUAMARE/RN;GUAMARE;RN;ALESAT COMBUSTÍVEIS S. A.;-5.139028;-36.390217;8106;-36.39021699999995;-5.139027999999939
330;RAÍZEN - BASE - IJUÍ/RS;IJUI;RS;RAIZEN COMBUSTÍVEIS S.A.;-28.39856333;-53.924505;4626.6;-53.924504999999954;-28.398563329999945
331;IPIRANGA - BASE - BARCARENA/PA;BARCARENA;PA;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-1.5440775;-48.7419382;9477.21;-48.741938199999936;-1.5440774999999576
332;VIBRA ENERGIA S.A.;MARABA;PA;VIBRA ENERGIA S.A.;0;0;3238;NaN;NaN
333;RAIZEN - BASE -  CUIABA/MT;CUIABA;MT;RAIZEN COMBUSTÍVEIS S.A.;-15.6691116;-55.98417742;6062.05;-55.98417741999998;-15.669111599999951
334;IDAZA -  SINOP;SINOP;MT;IDAZA DISTRIBUIDORA DE PETRÓLEO LTDA;-12.013535;-55.516775;5013.66;-55.51677499999994;-12.013534999999933
335;PETROALCOOL - BASE - MARINGA/PR;MARINGA;PR;PETROALCOOL DISTRIBUIDORA DE PETRÓLEO LTDA.;-23.456895;-51.99915167;1388.29;-51.99915166999995;-23.456894999999975
336;STANG - BASE - ARAUCÁRIA/PR;ARAUCARIA;PR;STANG DISTRIBUIDORA DE PETRÓLEO LTDA.;-25.56944744;-49.3715096;3750;-49.37150959999997;-25.569447439999976
337;POTENCIAL - BASE COMPARTILHADA - ARAUCÁRIA/PR;ARAUCARIA;PR;POTENCIAL PETRÓLEO LTDA;-25.57296667;-49.37211167;30650;-49.37211166999998;-25.57296666999997
338;VIBRA ENERGIA - BASE - FORTALEZA/CE;FORTALEZA;CE;VIBRA ENERGIA S.A.;-3.71719314;-38.46816549;52744.14;-38.46816548999993;-3.7171931399999494
339;TAG - CAMPO GRANDE;CAMPO GRANDE;MS;TAG DISTRIBUIDORA DE COMBUSTÍVEIS S/A.;-20.4791535;-54.7262208;1469;-54.726220799999965;-20.47915349999994
340;TAURUS - BASE - CAMPO GRANDE/MS;CAMPO GRANDE;MS;TAURUS DISTRIBUIDORA DE PETRÓLEO LTDA;-20.6209721;-54.5766397;1311.5;-54.57663969999999;-20.62097209999996
341;ROYAL FIC - BASE- BETIM/MG;BETIM;MG;ROYAL FIC DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO S/A;-19.96587767;-44.09765267;14600;-44.097652669999945;-19.96587766999994
342;RAÍZEN - BASE - BETIM/MG;BETIM;MG;RAIZEN COMBUSTÍVEIS S.A.;-19.95629431;-44.10402987;33605.84;-44.10402986999998;-19.956294309999976
343;SABBÁ - BASE - SÃO LUIS/MA;SAO LUIS;MA;PETRÓLEO SABBÁ S.A.;-2.57666951;-44.36558414;31497;-44.36558413999995;-2.576669509999931
344;GREEN - BASE - CAXIAS/MA;CAXIAS;MA;GREEN DISTRIBUIDORA DE PETRÓLEO LTDA;-4.89361333;-43.360785;823.43;-43.360784999999964;-4.893613329999937
345;VIBRA ENERGIA - BASE - BRASILIA/DF;BRASILIA;DF;VIBRA ENERGIA S.A.;-15.80115961;-47.97277622;37216.22;-47.97277621999996;-15.801159609999957
346;RUFF - CAREAÇU - MG;CAREACU;MG;RUFF CJ DISTRIBUIDORA DE PETRÓLEO LTDA;-22.04674667;-45.69188333;833.27;-45.69188332999994;-22.046746669999948
347;S R BRASIL - BASE COMPART. - SENADOR CANEDO/GO;SENADOR CANEDO;GO;SR BRASIL PETRÓLEO LTDA.;-16.70125195;-49.11036311;13681.7;-49.11036310999998;-16.70125194999997
348;VIBRA ENERGIA - BASE - AÇAILÂNDIA/MA;ACAILANDIA;MA;VIBRA ENERGIA S.A.;-4.90239896;-47.395278;10958;-47.39527799999996;-4.902398959999971
349;TOTAL - BASE - SAO FRANCISCO DO CONDE/BA;SAO FRANCISCO DO CONDE;BA;TDC DISTRIBUIDORA DE COMBUSTÍVEIS S/A.;-12.72593167;-38.596955;19872;-38.59695499999998;-12.725931669999966
350;POOL VIBRA ENERGIA - JUAZEIRO/BA;JUAZEIRO;BA;VIBRA ENERGIA S.A.;-9.462929;-40.485655;6123.43;-40.48565499999995;-9.462928999999974
351;YPETRO - BASE - MARACANAÚ/CE;MARACANAU;CE;YPETRO DISTRIBUIDORA DE COMBUSTIVEIS S.A.;-3.84696342;-38.57328847;13506.23;-38.573288469999966;-3.846963419999952
352;LARCO - BASE - CANDEIAS/BA;CANDEIAS;BA;LARCO COMERCIAL DE PRODUTOS DE PETRÓLEO LTDA.;-12.65131333;-38.54726333;14591.24;-38.547263329999964;-12.651313329999937
353;POOL DE MACEIÓ - BASE DE DISTRIBUIÇÃO - MACEIÓ/AL;MACEIO;AL;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-9.67503899;-35.71833818;16463;-35.71833817999993;-9.675038989999962
