Nome;Categoria;Diâmetro (Polegada);Extensão (km);Município Origem;Município Destino;Fontes;Pressão Máx. Operação;Transportadora;FID
Presidente Kennedy - São Brás do Suaçuí;Indicativo;20;320.49192085;PRESIDENTE KENNEDY (ES);SÃO BRÁS DO SUAÇUÍ (MG);PIG 2020; ;Estudo EPE;2565
Barcarena-Belém;Indicativo;12;48.62806158;Barcarena (PA);Belem (PA);PIG 2022;100;Estudo EPE;2566
Linhares-Governador Valadares;Indicativo;20;279.36267174;Linhares (ES);Governador Valadares (MG);PIG 2022;100;Estudo EPE;2567
GASFOR II (Horizonte-Caucaia);Existente;20;74.30629727;HORIZONTE (CE);CAUCAIA (CE);PDE 2024-2034;100;TAG;2568
Conexão Terminal Sergipe;Existente;18;22.99492838;BARRA DOS COQUEIROS (SE);ROSÁRIO DO CATETE (SE);PDE 2024-2034; ;Estudo EPE;2569
Santo Antônio dos Lopes - Imperatriz;Indicativo;18;422;Santo Antônio dos Lopes (MA);Imperatriz (MA);PIG 2024;100;Estudo EPE;2572
Siderópolis - Porto Alegre;Indicativo;16;249;Siderópolis (SC);Porto Alegre (RS);PNIIGB (set/2025) e PIG 2024;100;Estudo EPE;2573
Iacanga - Uberaba;Indicativo;20;260;Iacanga (SP);Uberaba (MG);PNIIGB (set/2025) e PIG 2024;;Estudo EPE;2574
Porto Murtinho - Campo Grande;Indicativo;32;392;Porto Murtinho (MS);Campo Grande (MS);PIG 2024;100;Estudo EPE;2576
Seropédica - Japeri;Indicativo;6;23;Seropédica (RJ);Japeri (RJ);PIG 2024;75;Estudo EPE;2577
Sertãozinho - São Carlos;Indicativo;10;100;Sertãozinho (SP);São Carlos (SP);PIG 2024;100;Estudo EPE;2578
Uruguaiana - Triunfo;Indicativo;24;593;Uruguaiana (RS);Triunfo (RS);PNIIGB (set/2025) e PIG 2024;100;Estudo EPE;2579
Ipojuca-Igarassu (Veredas Fase 1);Indicativo;26;85;Ipojuca (PE);Igarassu (PE);PNIIGB (set/2025);;Estudo EPE;2580
Bragança Paulista-Extrema (GASBEX);Indicativo;6;28;Bragança Paulista (SP);Extrema  (MG);PNIIGB (set/2025);;Estudo EPE;2581
Porecatu-Bilac ;Indicativo;10;185;Porecatu (PR);Bilac (SP);PNIIGB (set/2025);100;Estudo EPE;2582
